ID,gender,age_group,citizen,vismin,immigrant,responded,voted_2019,past_vote,plan_to_vote,likely_party,Healthcare,Education,Taxes,Climate,Jobs,Housing,Indigenous,Immigration,Racial,Seniors,Childcare,COVID19,Debt,ads,decided,ad_affect
39,Female,35-44,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Moderately,Moderately,Slightly,Moderately,Moderately,Not,Not,Slightly,Moderately,Moderately,Moderately,Moderately,Online,Decided,not at all
41,Male,25-34,yes,No,Yes,yes,yes,NDP,Yes,NDP,Moderately,Not,Extremely,Moderately,Moderately,Not,Moderately,Slightly,Not,Moderately,Slightly,Moderately,Moderately,Online,Decided,not at all
44,Male,55-64,yes,Yes,Yes,yes,yes,Liberal,Yes,NDP,Moderately,Slightly,Don't know,Moderately,Moderately,Moderately,Moderately,Moderately,Slightly,Moderately,Very,Moderately,Moderately,None,Decided,not at all
46,Female,45-54,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Moderately,Don't know,Moderately,Moderately,Slightly,Slightly,Not,Moderately,Not,Not,Extremely,Moderately,Online,Decided,not at all
49,Female,65 and over,yes,Yes,No,yes,yes,Liberal,Yes,NDP,Extremely,Not,Moderately,Slightly,Moderately,Not,Not,Not,Moderately,Not,Not,Moderately,Moderately,Online,Decided,not at all
51,Male,65 and over,yes,Yes,Yes,yes,no,Did not vote,No,Don't plan to vote,Slightly,Not,Don't know,Not,Moderately,Moderately,Moderately,Very,Moderately,Moderately,Moderately,Don't know,Moderately,TV,Decided,not at all
56,Male,25-34,yes,No,No,yes,no,Did not vote,No,Don't plan to vote,Slightly,Not,Moderately,Extremely,Very,Not,Moderately,Moderately,Not,Slightly,Slightly,Moderately,Slightly,Online,Decided,not at all
60,Male,18-24,yes,No,No,yes,yes,NDP,Yes,Conservative,Not,Slightly,Moderately,Very,Moderately,Moderately,Not,Slightly,Moderately,Slightly,Not,Extremely,Very,Signs/Billboards,Decided,not at all
61,Female,45-54,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Slightly,Not,Don't know,Moderately,Moderately,Extremely,Moderately,Slightly,Moderately,Not,Not,Extremely,Slightly,Radio,Decided,not at all
65,Female,35-44,yes,Yes,No,yes,no,Did not vote,Yes,Liberal,Extremely,Moderately,Slightly,Very,Slightly,Don't know,Not,Slightly,Not,Don't know,Not,Very,Moderately,None,Decided,not at all
69,Male,35-44,yes,No,No,yes,yes,NDP,Yes,NDP,Not,Moderately,Very,Very,Slightly,Moderately,Moderately,Extremely,Moderately,Moderately,Not,Moderately,Moderately,TV,Decided,not at all
72,Male,65 and over,yes,Yes,No,yes,yes,Liberal,Don't know,Liberal,Not,Not,Moderately,Moderately,Moderately,Not,Not,Very,Don't know,Slightly,Moderately,Moderately,Very,TV,Decided,not at all
73,Male,18-24,yes,Yes,No,yes,yes,Liberal,Yes,Conservative,Very,Slightly,Moderately,Slightly,Moderately,Not,Slightly,Not,Not,Slightly,Slightly,Moderately,Extremely,Mail,Decided,not at all
77,Female,18-24,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Moderately,Slightly,Moderately,Moderately,Moderately,Moderately,Not,Not,Moderately,Very,Moderately,Moderately,Print,Decided,not at all
80,Male,18-24,yes,No,No,yes,yes,Liberal,Yes,Undecided,Very,Not,Slightly,Slightly,Moderately,Extremely,Moderately,Not,Moderately,Extremely,Not,Extremely,Moderately,Signs/Billboards,Undecided,a little
81,Female,45-54,yes,No,No,yes,no,Did not vote,No,Don't plan to vote,Slightly,Don't know,Moderately,Extremely,Moderately,Moderately,Don't know,Not,Not,Slightly,Slightly,Moderately,Extremely,Online,Decided,not at all
84,Male,55-64,yes,Yes,Yes,yes,yes,Liberal,Yes,Liberal,Extremely,Not,Slightly,Moderately,Slightly,Moderately,Slightly,Moderately,Not,Not,Don't know,Not,Moderately,Online,Decided,not at all
86,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Green,Moderately,Moderately,Slightly,Moderately,Moderately,Very,Not,Not,Slightly,Not,Not,Moderately,Moderately,Mail,Decided,not at all
87,Female,35-44,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Not,Moderately,Moderately,Moderately,Slightly,Slightly,Not,Moderately,Moderately,Not,Extremely,Slightly,TV,Decided,not at all
88,Female,65 and over,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Not,Not,Slightly,Extremely,Moderately,Slightly,Slightly,Not,Slightly,Don't know,Moderately,Extremely,Slightly,Online,Decided,not at all
91,Male,45-54,yes,No,No,yes,yes,Liberal,Yes,Undecided,Not,Not,Not,Not,Moderately,Moderately,Moderately,Not,Moderately,Not,Not,Very,Moderately,Print,Undecided,not at all
94,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Liberal,Not,Not,Very,Moderately,Very,Extremely,Not,Slightly,Not,Slightly,Moderately,Moderately,Moderately,Online,Decided,not at all
96,Male,18-24,yes,No,No,yes,yes,Liberal,Yes,Undecided,Not,Very,Moderately,Very,Moderately,Extremely,Don't know,Don't know,Moderately,Moderately,Not,Very,Extremely,Online,Undecided,not at all
98,Female,45-54,yes,No,Yes,yes,yes,NDP,Yes,Liberal,Extremely,Not,Slightly,Slightly,Extremely,Moderately,Not,Slightly,Not,Moderately,Not,Extremely,Moderately,TV,Decided,not at all
99,Female,35-44,yes,Yes,No,yes,no,Did not vote,No,Don't plan to vote,Not,Slightly,Moderately,Slightly,Moderately,Slightly,Slightly,Very,Moderately,Moderately,Don't know,Extremely,Moderately,Online,Decided,not at all
100,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Extremely,Moderately,Extremely,Moderately,Moderately,Moderately,Moderately,Not,Slightly,Not,Don't know,Moderately,Moderately,TV,Decided,not at all
101,Male,45-54,yes,No,No,yes,yes,NDP,Yes,NDP,Very,Not,Moderately,Slightly,Extremely,Very,Extremely,Moderately,Moderately,Slightly,Moderately,Extremely,Slightly,TV,Decided,not at all
102,Male,35-44,yes,Yes,No,yes,yes,NDP,Yes,Conservative,Slightly,Moderately,Slightly,Moderately,Moderately,Moderately,Don't know,Moderately,Not,Not,Slightly,Moderately,Slightly,Online,Decided,not at all
104,Male,18-24,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Not,Moderately,Not,Slightly,Very,Not,Slightly,Slightly,Moderately,Not,Extremely,Extremely,TV,Decided,not at all
106,Female,55-64,yes,No,No,yes,yes,Green,Yes,Conservative,Extremely,Slightly,Moderately,Extremely,Slightly,Moderately,Slightly,Slightly,Not,Slightly,Slightly,Extremely,Don't know,Mail,Decided,not at all
110,Female,55-64,yes,Yes,Yes,yes,yes,Conservative,Yes,Liberal,Extremely,Very,Moderately,Don't know,Moderately,Very,Don't know,Moderately,Slightly,Moderately,Not,Extremely,Extremely,Mail,Decided,not at all
113,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Extremely,Extremely,Moderately,Moderately,Moderately,Slightly,Not,Moderately,Moderately,Slightly,Extremely,Moderately,Slightly,Mail,Decided,not at all
116,Female,18-24,yes,Yes,Yes,yes,yes,Liberal,Yes,Liberal,Not,Don't know,Extremely,Slightly,Moderately,Extremely,Very,Not,Don't know,Not,Not,Moderately,Extremely,Signs/Billboards,Decided,not at all
120,Male,55-64,yes,No,No,yes,yes,Liberal,Yes,Conservative,Not,Moderately,Slightly,Moderately,Moderately,Not,Not,Moderately,Not,Moderately,Extremely,Very,Slightly,Print,Decided,a lot
124,Female,35-44,yes,Yes,No,yes,no,Did not vote,Yes,NDP,Extremely,Slightly,Very,Moderately,Extremely,Slightly,Slightly,Not,Not,Moderately,Not,Slightly,Slightly,None,Decided,not at all
126,Male,25-34,yes,No,No,yes,yes,Liberal,Yes,Conservative,Don't know,Moderately,Moderately,Moderately,Moderately,Very,Moderately,Not,Not,Slightly,Moderately,Slightly,Slightly,Online,Decided,not at all
129,Female,35-44,yes,No,No,yes,no,Did not vote,Yes,Liberal,Extremely,Not,Moderately,Don't know,Very,Slightly,Moderately,Not,Moderately,Slightly,Moderately,Moderately,Slightly,Radio,Decided,not at all
132,Female,18-24,yes,No,No,yes,yes,Conservative,Yes,NDP,Slightly,Don't know,Moderately,Not,Moderately,Extremely,Don't know,Slightly,Very,Moderately,Not,Very,Slightly,TV,Decided,not at all
135,Male,45-54,yes,No,No,yes,yes,NDP,Yes,Liberal,Slightly,Slightly,Moderately,Moderately,Moderately,Extremely,Not,Not,Not,Moderately,Moderately,Slightly,Slightly,None,Decided,not at all
137,Female,55-64,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Not,Not,Moderately,Moderately,Moderately,Don't know,Slightly,Slightly,Not,Very,Moderately,Moderately,Moderately,Online,Decided,not at all
139,Male,55-64,yes,No,Yes,yes,yes,Liberal,Yes,NDP,Not,Moderately,Moderately,Extremely,Moderately,Moderately,Not,Not,Slightly,Not,Extremely,Extremely,Very,Online,Decided,not at all
151,Male,18-24,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Extremely,Moderately,Very,Moderately,Moderately,Extremely,Moderately,Not,Very,Slightly,Slightly,Extremely,Moderately,Online,Decided,not at all
156,Male,45-54,yes,No,No,yes,yes,Conservative,Yes,Conservative,Not,Not,Very,Very,Slightly,Extremely,Very,Moderately,Not,Not,Very,Extremely,Extremely,TV,Decided,not at all
158,Female,35-44,yes,No,No,yes,yes,Green,Yes,Liberal,Slightly,Moderately,Slightly,Extremely,Extremely,Slightly,Not,Not,Not,Moderately,Extremely,Moderately,Extremely,Print,Decided,not at all
159,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Not,Moderately,Very,Moderately,Moderately,Not,Very,Moderately,Slightly,Very,Moderately,Moderately,Signs/Billboards,Decided,not at all
161,Male,45-54,yes,No,No,yes,yes,Liberal,Yes,NDP,Extremely,Not,Extremely,Moderately,Moderately,Don't know,Slightly,Moderately,Very,Not,Not,Moderately,Moderately,None,Decided,not at all
162,Female,35-44,yes,Yes,No,yes,yes,Liberal,Yes,Conservative,Moderately,Moderately,Moderately,Moderately,Moderately,Very,Not,Moderately,Not,Not,Not,Moderately,Moderately,Online,Decided,not at all
164,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Slightly,Slightly,Moderately,Moderately,Moderately,Not,Moderately,Not,Slightly,Moderately,Moderately,Moderately,Online,Decided,not at all
176,Female,65 and over,yes,Yes,Yes,yes,yes,Liberal,Yes,NDP,Very,Slightly,Moderately,Slightly,Moderately,Moderately,Slightly,Moderately,Not,Extremely,Slightly,Moderately,Slightly,None,Decided,not at all
177,Female,65 and over,yes,No,No,yes,no,Did not vote,Yes,Liberal,Not,Moderately,Slightly,Not,Moderately,Very,Very,Slightly,Moderately,Slightly,Not,Very,Very,Print,Decided,not at all
178,Male,45-54,yes,No,No,yes,yes,NDP,Yes,Liberal,Slightly,Moderately,Moderately,Moderately,Extremely,Not,Not,Slightly,Not,Slightly,Don't know,Moderately,Moderately,Online,Decided,not at all
182,Female,25-34,yes,No,Yes,yes,yes,Liberal,Don't know,Liberal,Slightly,Very,Moderately,Moderately,Moderately,Not,Moderately,Not,Not,Slightly,Moderately,Moderately,Very,Online,Decided,not at all
185,Male,25-34,yes,No,No,yes,yes,Green,Yes,Undecided,Moderately,Not,Moderately,Moderately,Moderately,Slightly,Moderately,Don't know,Not,Moderately,Not,Slightly,Moderately,Mail,Undecided,not at all
188,Male,55-64,yes,Yes,No,yes,yes,NDP,Yes,Liberal,Extremely,Slightly,Very,Moderately,Moderately,Not,Slightly,Moderately,Moderately,Moderately,Slightly,Moderately,Not,Signs/Billboards,Decided,not at all
189,Female,35-44,yes,No,No,yes,yes,Liberal,Yes,Liberal,Extremely,Not,Moderately,Extremely,Moderately,Moderately,Don't know,Not,Extremely,Not,Moderately,Moderately,Moderately,Online,Decided,not at all
194,Male,65 and over,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Extremely,Moderately,Don't know,Very,Moderately,Moderately,Moderately,Not,Don't know,Not,Moderately,Moderately,Slightly,Online,Decided,not at all
196,Female,18-24,yes,Yes,No,yes,yes,Liberal,Yes,Green,Not,Moderately,Slightly,Moderately,Slightly,Slightly,Slightly,Not,Slightly,Moderately,Not,Moderately,Moderately,Online,Decided,somewhat
205,Female,45-54,yes,No,No,yes,yes,Liberal,Yes,Conservative,Not,Moderately,Moderately,Moderately,Moderately,Extremely,Slightly,Not,Not,Moderately,Moderately,Moderately,Slightly,TV,Decided,not at all
208,Female,65 and over,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Moderately,Not,Slightly,Extremely,Moderately,Extremely,Not,Moderately,Moderately,Not,Not,Very,Slightly,Mail,Decided,not at all
210,Female,45-54,yes,Yes,No,yes,yes,Other/Prefer not to answer,Yes,Liberal,Not,Extremely,Moderately,Moderately,Moderately,Slightly,Slightly,Very,Slightly,Moderately,Moderately,Very,Moderately,Online,Decided,a little
213,Male,25-34,yes,No,Yes,yes,yes,NDP,Yes,Liberal,Not,Slightly,Slightly,Don't know,Moderately,Very,Not,Not,Very,Not,Extremely,Extremely,Extremely,Online,Decided,not at all
219,Female,25-34,yes,Yes,Yes,yes,no,Did not vote,Yes,Conservative,Slightly,Not,Moderately,Not,Moderately,Moderately,Not,Not,Moderately,Not,Moderately,Moderately,Extremely,Online,Decided,a lot
220,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Undecided,Very,Moderately,Very,Moderately,Extremely,Moderately,Extremely,Slightly,Not,Moderately,Not,Extremely,Slightly,Online,Undecided,not at all
223,Male,65 and over,yes,No,No,yes,no,Did not vote,Yes,Liberal,Very,Slightly,Not,Slightly,Moderately,Slightly,Not,Moderately,Not,Slightly,Moderately,Moderately,Extremely,Online,Decided,not at all
224,Female,25-34,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Extremely,Not,Don't know,Very,Moderately,Very,Don't know,Not,Moderately,Moderately,Slightly,Moderately,Moderately,Print,Decided,not at all
228,Female,25-34,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Very,Not,Moderately,Extremely,Moderately,Moderately,Very,Not,Very,Not,Extremely,Moderately,Moderately,Print,Decided,not at all
229,Male,25-34,yes,No,No,yes,yes,Conservative,Yes,NDP,Not,Moderately,Slightly,Slightly,Moderately,Moderately,Not,Not,Very,Not,Not,Very,Moderately,Online,Decided,not at all
230,Female,45-54,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Don't know,Not,Not,Not,Moderately,Moderately,Not,Moderately,Don't know,Extremely,Moderately,Moderately,Moderately,TV,Decided,not at all
231,Female,25-34,yes,Yes,No,yes,yes,Liberal,Yes,Green,Not,Not,Extremely,Moderately,Moderately,Moderately,Moderately,Extremely,Moderately,Not,Slightly,Moderately,Slightly,None,Decided,not at all
233,Female,35-44,yes,No,No,yes,yes,NDP,Yes,Liberal,Slightly,Slightly,Moderately,Extremely,Moderately,Moderately,Moderately,Very,Don't know,Very,Not,Moderately,Very,Signs/Billboards,Decided,not at all
235,Male,35-44,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Not,Moderately,Very,Moderately,Extremely,Slightly,Not,Moderately,Slightly,Moderately,Moderately,Moderately,Online,Decided,not at all
237,Male,25-34,yes,Yes,Yes,yes,yes,Conservative,Yes,Liberal,Slightly,Slightly,Slightly,Moderately,Moderately,Not,Not,Moderately,Don't know,Not,Extremely,Moderately,Moderately,None,Decided,not at all
239,Female,25-34,yes,No,Yes,yes,yes,Liberal,Yes,Conservative,Slightly,Not,Don't know,Very,Moderately,Don't know,Slightly,Moderately,Slightly,Moderately,Not,Moderately,Slightly,Mail,Decided,not at all
243,Female,55-64,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Don't know,Moderately,Moderately,Moderately,Not,Moderately,Not,Not,Not,Don't know,Moderately,Very,Online,Decided,not at all
244,Female,18-24,yes,Yes,No,yes,yes,Liberal,Yes,NDP,Moderately,Not,Slightly,Moderately,Moderately,Moderately,Not,Slightly,Not,Moderately,Slightly,Moderately,Slightly,Mail,Decided,somewhat
245,Female,35-44,yes,No,No,yes,yes,NDP,Yes,NDP,Extremely,Moderately,Moderately,Very,Not,Moderately,Not,Moderately,Slightly,Slightly,Not,Moderately,Moderately,Signs/Billboards,Decided,not at all
252,Female,25-34,yes,No,No,yes,yes,NDP,Yes,NDP,Not,Very,Very,Very,Moderately,Very,Not,Moderately,Not,Not,Moderately,Not,Moderately,Signs/Billboards,Decided,not at all
256,Male,65 and over,yes,No,No,yes,yes,NDP,Yes,NDP,Slightly,Not,Extremely,Moderately,Moderately,Not,Slightly,Slightly,Moderately,Moderately,Moderately,Moderately,Moderately,Mail,Decided,not at all
257,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Conservative,Moderately,Slightly,Moderately,Very,Moderately,Not,Not,Not,Not,Not,Moderately,Very,Extremely,Online,Decided,not at all
258,Male,45-54,yes,Yes,No,yes,yes,Liberal,Yes,Conservative,Moderately,Moderately,Not,Not,Slightly,Don't know,Not,Don't know,Not,Not,Not,Moderately,Moderately,Mail,Decided,not at all
263,Male,18-24,yes,No,Yes,yes,yes,Other/Prefer not to answer,Yes,Conservative,Not,Extremely,Moderately,Very,Very,Slightly,Moderately,Moderately,Not,Moderately,Moderately,Extremely,Slightly,Online,Decided,not at all
265,Male,35-44,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Slightly,Don't know,Very,Very,Moderately,Extremely,Slightly,Very,Don't know,Not,Very,Extremely,Very,TV,Decided,a little
268,Male,35-44,yes,Yes,No,yes,yes,Liberal,Yes,NDP,Not,Not,Slightly,Don't know,Moderately,Don't know,Not,Slightly,Not,Not,Not,Moderately,Very,Online,Decided,not at all
269,Male,65 and over,yes,No,No,yes,yes,Other/Prefer not to answer,Yes,Liberal,Moderately,Not,Moderately,Not,Moderately,Very,Extremely,Moderately,Not,Moderately,Slightly,Extremely,Very,Radio,Decided,not at all
271,Male,65 and over,yes,No,No,yes,yes,Liberal,Yes,Conservative,Slightly,Moderately,Moderately,Very,Moderately,Don't know,Moderately,Not,Not,Moderately,Moderately,Extremely,Moderately,TV,Decided,not at all
272,Male,18-24,yes,No,Yes,yes,yes,Liberal,Yes,Green,Not,Not,Moderately,Slightly,Moderately,Moderately,Not,Don't know,Not,Not,Not,Moderately,Not,Online,Decided,not at all
279,Male,25-34,yes,Yes,No,yes,yes,Liberal,Yes,NDP,Very,Not,Very,Not,Moderately,Moderately,Not,Moderately,Moderately,Not,Don't know,Very,Extremely,TV,Decided,a little
281,Female,65 and over,yes,No,Yes,yes,yes,Liberal,Don't know,Liberal,Extremely,Moderately,Moderately,Slightly,Moderately,Very,Extremely,Slightly,Don't know,Moderately,Very,Extremely,Extremely,Online,Decided,a little
283,Male,65 and over,yes,Yes,Yes,yes,no,Did not vote,Yes,Green,Very,Slightly,Moderately,Not,Moderately,Moderately,Not,Moderately,Not,Moderately,Slightly,Extremely,Not,None,Decided,not at all
287,Female,25-34,yes,Yes,Yes,yes,yes,NDP,Yes,Green,Moderately,Slightly,Very,Very,Moderately,Moderately,Not,Not,Very,Not,Moderately,Moderately,Slightly,TV,Decided,not at all
293,Female,18-24,yes,No,No,yes,yes,Conservative,Yes,Conservative,Not,Not,Very,Not,Extremely,Very,Slightly,Not,Not,Not,Not,Not,Moderately,TV,Decided,a little
294,Female,18-24,yes,No,Yes,yes,yes,Conservative,Yes,Conservative,Slightly,Not,Don't know,Slightly,Moderately,Very,Slightly,Not,Very,Slightly,Moderately,Moderately,Slightly,Mail,Decided,not at all
295,Female,45-54,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Not,Very,Moderately,Extremely,Moderately,Moderately,Moderately,Not,Moderately,Not,Extremely,Slightly,None,Decided,not at all
300,Female,25-34,yes,Yes,No,yes,yes,Green,Yes,NDP,Slightly,Not,Moderately,Moderately,Moderately,Moderately,Not,Moderately,Moderately,Don't know,Not,Extremely,Slightly,Signs/Billboards,Decided,not at all
301,Male,18-24,yes,Yes,No,yes,yes,Liberal,Yes,Conservative,Not,Moderately,Slightly,Very,Moderately,Extremely,Moderately,Moderately,Not,Slightly,Moderately,Extremely,Slightly,Signs/Billboards,Decided,not at all
302,Male,45-54,yes,No,No,yes,yes,Green,Yes,NDP,Not,Slightly,Slightly,Slightly,Moderately,Extremely,Moderately,Not,Slightly,Moderately,Very,Slightly,Very,TV,Decided,not at all
303,Female,45-54,yes,No,No,yes,yes,Liberal,Yes,Conservative,Not,Not,Slightly,Very,Not,Very,Not,Moderately,Extremely,Not,Moderately,Moderately,Moderately,Online,Decided,not at all
308,Female,25-34,yes,No,Yes,yes,yes,Liberal,Yes,NDP,Extremely,Not,Very,Not,Moderately,Moderately,Not,Moderately,Extremely,Moderately,Moderately,Moderately,Extremely,Online,Decided,not at all
317,Male,55-64,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Extremely,Moderately,Don't know,Not,Moderately,Very,Moderately,Slightly,Moderately,Slightly,Moderately,Moderately,Slightly,Signs/Billboards,Decided,not at all
320,Male,18-24,yes,Yes,No,yes,no,Did not vote,No,Don't plan to vote,Very,Very,Very,Moderately,Not,Moderately,Not,Moderately,Moderately,Not,Very,Extremely,Very,Online,Decided,not at all
322,Female,35-44,yes,No,Yes,yes,yes,Conservative,Yes,Liberal,Moderately,Moderately,Moderately,Very,Slightly,Slightly,Not,Not,Moderately,Moderately,Not,Very,Slightly,None,Decided,not at all
326,Male,18-24,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Extremely,Not,Don't know,Slightly,Moderately,Extremely,Slightly,Moderately,Not,Moderately,Slightly,Not,Moderately,Signs/Billboards,Decided,somewhat
329,Female,18-24,yes,Yes,Yes,yes,yes,NDP,Yes,Conservative,Slightly,Not,Don't know,Very,Extremely,Not,Not,Moderately,Moderately,Slightly,Not,Extremely,Moderately,Signs/Billboards,Decided,somewhat
332,Male,55-64,yes,Prefer not to say,No,yes,yes,Liberal,Yes,NDP,Slightly,Don't know,Moderately,Very,Moderately,Extremely,Not,Not,Slightly,Extremely,Moderately,Extremely,Moderately,Online,Decided,not at all
342,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Conservative,Not,Not,Very,Moderately,Moderately,Moderately,Extremely,Not,Moderately,Don't know,Slightly,Very,Moderately,Signs/Billboards,Decided,not at all
343,Male,18-24,yes,No,No,yes,yes,Conservative,Yes,Conservative,Slightly,Moderately,Extremely,Very,Slightly,Moderately,Extremely,Moderately,Moderately,Slightly,Moderately,Not,Moderately,TV,Decided,not at all
345,Male,65 and over,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Not,Moderately,Don't know,Very,Moderately,Moderately,Moderately,Slightly,Not,Moderately,Not,Moderately,Moderately,None,Decided,not at all
348,Male,55-64,yes,Yes,Yes,yes,yes,Other/Prefer not to answer,Yes,Liberal,Not,Slightly,Not,Slightly,Extremely,Moderately,Not,Slightly,Moderately,Slightly,Extremely,Moderately,Extremely,TV,Decided,not at all
349,Female,25-34,yes,No,No,yes,yes,NDP,Yes,Undecided,Not,Moderately,Moderately,Very,Moderately,Very,Not,Not,Extremely,Not,Not,Moderately,Moderately,Print,Undecided,not at all
351,Male,35-44,yes,No,No,yes,yes,Liberal,Yes,Conservative,Extremely,Moderately,Moderately,Slightly,Moderately,Extremely,Not,Moderately,Moderately,Moderately,Not,Slightly,Extremely,Online,Decided,not at all
354,Male,18-24,yes,No,No,yes,yes,Liberal,Yes,Green,Slightly,Moderately,Don't know,Moderately,Very,Not,Moderately,Moderately,Moderately,Not,Extremely,Extremely,Not,Mail,Decided,not at all
356,Female,35-44,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Slightly,Extremely,Moderately,Moderately,Moderately,Moderately,Not,Not,Moderately,Moderately,Not,Extremely,Very,TV,Decided,not at all
359,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Conservative,Very,Not,Extremely,Very,Slightly,Moderately,Moderately,Slightly,Extremely,Slightly,Slightly,Very,Don't know,None,Decided,not at all
361,Female,65 and over,yes,Yes,No,yes,no,Did not vote,Yes,Liberal,Moderately,Slightly,Extremely,Very,Moderately,Moderately,Moderately,Not,Not,Moderately,Very,Moderately,Extremely,Mail,Decided,not at all
366,Female,25-34,yes,No,No,yes,yes,NDP,Yes,Conservative,Slightly,Slightly,Moderately,Moderately,Moderately,Extremely,Not,Not,Not,Moderately,Slightly,Very,Slightly,Mail,Decided,not at all
367,Female,65 and over,yes,Yes,Yes,yes,yes,Liberal,Yes,Liberal,Slightly,Slightly,Slightly,Not,Moderately,Very,Extremely,Not,Not,Slightly,Moderately,Moderately,Slightly,Online,Decided,not at all
369,Male,45-54,yes,No,No,yes,yes,Other/Prefer not to answer,Yes,Green,Not,Not,Moderately,Don't know,Slightly,Very,Not,Not,Moderately,Slightly,Extremely,Moderately,Moderately,TV,Decided,a little
